title,address,city,state,postal_code,price,facts and features,url,bed,bath,sqft,property_type
Condo For Sale,4724 25th St # B,San Francisco,CA,94114,1295000.0,"2 bds , 2 ba , 1,280 sqft",https://www.zillow.com/homedetails/4724-25th-St-B-San-Francisco-CA-94114/15179969_zpid/,2.0,2.0,1280.0,condo
Condo For Sale,49 Seward St,San Francisco,CA,94114,1595000.0,"2 bds , 2 ba , 1,384 sqft",https://www.zillow.com/homedetails/49-Seward-St-San-Francisco-CA-94114/2090718842_zpid/,2.0,2.0,1384.0,condo
House For Sale,800 Castro St,San Francisco,CA,94114,1800000.0,"2 bds , 2 ba , 1,340 sqft",https://www.zillow.com/homedetails/800-Castro-St-San-Francisco-CA-94114/15130787_zpid/,2.0,2.0,1340.0,house
Condo For Sale,4150 17th St APT 11,San Francisco,CA,94114,1948000.0,"2 bds , 2 ba , 1,868 sqft",https://www.zillow.com/homedetails/4150-17th-St-APT-11-San-Francisco-CA-94114/15127576_zpid/,2.0,2.0,1868.0,condo
Condo For Sale,672 Clipper St # B,San Francisco,CA,94114,566671.0,"2 bds , 2 ba , 1,042 sqft",https://www.zillow.com/homedetails/672-Clipper-St-B-San-Francisco-CA-94114/2090772025_zpid/,2.0,2.0,1042.0,condo
House For Sale,815 Douglass St,San Francisco,CA,94114,1995000.0,"3 bds , 3 ba , 1,870 sqft",https://www.zillow.com/homedetails/815-Douglass-St-San-Francisco-CA-94114/15180127_zpid/,3.0,3.0,1870.0,house
House For Sale,407 Clipper St,San Francisco,CA,94114,1598000.0,"4 bds , 2 ba , 2,988 sqft",https://www.zillow.com/homedetails/407-Clipper-St-San-Francisco-CA-94114/2090820955_zpid/,4.0,2.0,2988.0,house
Apartment For Sale,18 22 Sanchez St,San Francisco,CA,94114,3825000.0,"Studio , -- ba , 8,040 sqft",https://www.zillow.com/homedetails/18-22-Sanchez-St-San-Francisco-CA-94114/2090822860_zpid/,0.0,1.9903492647058822,8040.0,apartment
Coming Soon,3527 21st St,San Francisco,CA,94114,2460000.0,"4 bds , 3 ba , 2,400 sqft",https://www.zillow.com/homedetails/3527-21st-St-San-Francisco-CA-94114/15146099_zpid/,4.0,3.0,2400.0,coming
House For Sale,4443 19th St,San Francisco,CA,94114,3595000.0,"4 bds , 3.5 ba , 2,260 sqft",https://www.zillow.com/homedetails/4443-19th-St-San-Francisco-CA-94114/15129450_zpid/,4.0,3.5,2260.0,house
Apartment For Sale,312-314 Liberty St,SAN FRANCISCO,CA,94114,5750000.0,"Studio , -- ba , 3,255 sqft",https://www.zillow.com/homedetails/312-314-Liberty-St-San-Francisco-CA-94114/15145459_zpid/,0.0,1.9903492647058822,3255.0,apartment
House For Sale,780 Elizabeth St,San Francisco,CA,94114,2795000.0,"3 bds , 2 ba , 2,790 sqft",https://www.zillow.com/homedetails/780-Elizabeth-St-San-Francisco-CA-94114/15131678_zpid/,3.0,2.0,2790.0,house
Apartment For Sale,950 Noe St,San Francisco,CA,94114,1575000.0,"Studio , -- ba , 1,250 sqft",https://www.zillow.com/homedetails/950-Noe-St-San-Francisco-CA-94114/15146390_zpid/,0.0,1.9903492647058822,1250.0,apartment
House For Sale,352 Cumberland St,San Francisco,CA,94114,3750000.0,"3 bds , 3 ba , 2,760 sqft",https://www.zillow.com/homedetails/352-Cumberland-St-San-Francisco-CA-94114/15145129_zpid/,3.0,3.0,2760.0,house
Lot/Land For Sale,258 Caselli Ave,San Francisco,CA,94114,1350000.0,"1,751 sqft lot",https://www.zillow.com/homedetails/258-Caselli-Ave-San-Francisco-CA-94114/59779599_zpid/,2.0269413629160065,1.9903492647058822,1751.0,lot
House For Sale,1410 Stanyan St,San Francisco,CA,94114,3695000.0,"4 bds , 3.5 ba , 3,687 sqft",https://www.zillow.com/homedetails/1410-Stanyan-St-San-Francisco-CA-94114/125272353_zpid/,4.0,3.5,3687.0,house
House For Sale,625 Grand View Ave,San Francisco,CA,94114,3595000.0,"4 bds , 3.5 ba , 2,765 sqft",https://www.zillow.com/homedetails/625-Grand-View-Ave-San-Francisco-CA-94114/15179944_zpid/,4.0,3.5,2765.0,house
Condo For Sale,1306 Mcallister St,San Francisco,CA,94115,1595000.0,"4 bds , 2 ba , 1,834 sqft",https://www.zillow.com/homedetails/1306-Mcallister-St-San-Francisco-CA-94115/2090713956_zpid/,4.0,2.0,1834.0,condo
Condo For Sale,1122 Elm St,San Francisco,CA,94115,650000.0,"2 bds , 1 ba , 700 sqft",https://www.zillow.com/homedetails/1122-Elm-St-San-Francisco-CA-94115/15077534_zpid/,2.0,1.0,700.0,condo
New Construction,2121 Webster St # 71CQX5,San Francisco,CA,94115,3595000.0,"2 bds , 2 ba , 1,793+ sqft",https://www.zillow.com/community/pacific/2093980393_zpid/,2.0,2.0,1793.0,new
Condo For Sale,75 Zampa Ln APT 5,San Francisco,CA,94115,650000.0,"3 bds , 2 ba , 1,050 sqft",https://www.zillow.com/homedetails/75-Zampa-Ln-APT-5-San-Francisco-CA-94115/64971953_zpid/,3.0,2.0,1050.0,condo
New Construction,2655 Bush St # X3XVXX,San Francisco,CA,94115,2420000.0,"1 bd , 1 ba , 1,600+ sqft",https://www.zillow.com/community/district-at-lower-pacific-heights/2096288445_zpid/,1.0,1.0,1600.0,new
New Construction,2655 Bush St # J3OSP7,San Francisco,CA,94115,1299000.0,"2 bds , 2 ba , 1,115+ sqft",https://www.zillow.com/community/district-at-lower-pacific-heights/2090800293_zpid/,2.0,2.0,1115.0,new
